日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l]
2020/11/26,9:34:17,40.0735,21.367,34.48,48.677,52904.824,1024.173,23.998,1,1,0.09,96.16,6.944,8.16,6.96,6.961
2020/11/26,9:34:18,40.6325,21.361,34.483,48.675,52910.35,1024.18,24.002,1.09,1.09,0.12,96.11,6.941,8.15,6.957,6.958
2020/11/26,9:34:19,40.8905,21.348,34.481,48.659,52910.021,1024.183,24.004,1,1,0.17,96.05,6.94,8.16,6.957,6.958
2020/11/26,9:34:20,41.0625,21.317,34.466,48.609,52894.672,1024.181,24.001,0.97,0.97,0.1,95.98,6.938,8.14,6.954,6.955
2020/11/26,9:34:21,41.6429,21.214,34.447,48.482,52886.489,1024.197,24.015,1.03,1.03,0.17,95.77,6.935,8.14,6.952,6.952
2020/11/26,9:34:22,41.9654,21.205,34.459,48.487,52903.931,1024.21,24.026,1.03,1.03,0.14,95.51,6.918,8.16,6.934,6.935
2020/11/26,9:34:23,41.9224,21.208,34.459,48.491,52904.636,1024.209,24.026,1,1,0.13,95.57,6.922,8.16,6.938,6.939
2020/11/26,9:34:24,41.9009,21.207,34.456,48.486,52900.409,1024.207,24.024,0.92,0.92,0.17,95.47,6.915,8.16,6.931,6.932
2020/11/26,9:34:25,42.1159,21.199,34.457,48.479,52902.734,1024.211,24.026,0.94,0.94,0.12,95.4,6.911,8.17,6.927,6.928
2020/11/26,9:34:26,42.2664,21.208,34.461,48.492,52906.405,1024.212,24.027,0.98,0.98,0.12,95.39,6.908,8.16,6.924,6.925
2020/11/26,9:34:27,42.1374,21.209,34.467,48.501,52914.254,1024.215,24.031,1.03,1.03,0.14,95.45,6.913,8.17,6.929,6.93
2020/11/26,9:34:28,42.0944,21.208,34.457,48.489,52902.022,1024.209,24.024,0.94,0.94,0.17,95.39,6.91,8.16,6.926,6.926
2020/11/26,9:34:29,42.0514,21.205,34.468,48.499,52917.176,1024.217,24.033,0.97,0.97,0.15,95.41,6.91,8.16,6.926,6.926
2020/11/26,9:34:30,42.0729,21.208,34.455,48.485,52898.842,1024.207,24.023,0.9,0.9,0.1,95.44,6.913,8.17,6.929,6.93
2020/11/26,9:34:31,42.1374,21.213,34.448,48.482,52887.879,1024.2,24.016,0.94,0.94,0.12,95.42,6.912,8.16,6.928,6.929
2020/11/26,9:34:32,41.9654,21.201,34.462,48.487,52909.02,1024.213,24.03,0.98,0.98,0.14,95.36,6.908,8.16,6.924,6.925
2020/11/26,9:34:33,41.6644,21.201,34.478,48.507,52931.175,1024.224,24.042,1.01,1.01,0.15,95.41,6.909,8.16,6.925,6.926
2020/11/26,9:34:34,41.7074,21.211,34.452,48.485,52894.509,1024.202,24.02,0.9,0.9,0.12,95.49,6.914,8.16,6.93,6.931
2020/11/26,9:34:35,41.9654,21.234,34.454,48.51,52892.392,1024.198,24.014,0.92,0.92,0.14,95.55,6.914,8.16,6.931,6.931
2020/11/26,9:34:36,41.9224,21.219,34.469,48.514,52916.142,1024.214,24.03,0.99,0.99,0.14,95.48,6.916,8.16,6.932,6.933
