日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l]
2020/11/26,9:23:00,5.1382,20.291,34.212,47.246,52707.192,1024.106,24.084,1.55,1.55,1.08,94.28,6.957,8.18,6.972,6.973
2020/11/26,9:23:01,5.0952,20.301,34.215,47.262,52710.65,1024.106,24.084,1.54,1.54,0.63,94.2,6.948,8.18,6.963,6.964
2020/11/26,9:23:02,5.1167,20.338,34.223,47.308,52714.145,1024.102,24.08,1.49,1.49,0.79,94.35,6.956,8.18,6.971,6.972
2020/11/26,9:23:03,5.1167,20.422,34.212,47.378,52684.651,1024.072,24.05,1.52,1.52,0.74,94.62,6.967,8.17,6.982,6.983
2020/11/26,9:23:04,5.0952,20.415,34.225,47.386,52702.795,1024.083,24.061,1.55,1.55,0.73,94.89,6.985,8.17,7,7.001
2020/11/26,9:23:05,5.1167,20.404,34.217,47.366,52694.285,1024.08,24.058,1.52,1.52,0.87,94.95,6.991,8.18,7.006,7.007
2020/11/26,9:23:06,5.1167,20.371,34.221,47.338,52705.8,1024.092,24.07,1.5,1.5,0.51,94.94,6.992,8.17,7.007,7.008
2020/11/26,9:23:07,5.0737,20.39,34.217,47.352,52696.43,1024.084,24.061,1.51,1.51,0.41,95.02,6.998,8.16,7.013,7.014
2020/11/26,9:23:08,5.0952,20.398,34.22,47.364,52699.9,1024.084,24.062,1.5,1.5,0.45,95.08,7,8.17,7.016,7.016
2020/11/26,9:23:09,5.1167,20.394,34.22,47.36,52699.785,1024.085,24.062,1.49,1.49,0.49,95.04,6.998,8.2,7.014,7.014
2020/11/26,9:23:10,5.0952,20.405,34.221,47.373,52700.078,1024.083,24.061,1.52,1.52,0.37,95.1,7.001,8.17,7.017,7.017
2020/11/26,9:23:11,5.0737,20.409,34.219,47.373,52696.417,1024.081,24.058,1.51,1.51,0.41,95.18,7.007,8.16,7.022,7.023
2020/11/26,9:23:12,5.0737,20.408,34.22,47.374,52697.504,1024.081,24.059,1.49,1.49,0.36,95.16,7.005,8.18,7.021,7.021
2020/11/26,9:23:13,5.0737,20.414,34.22,47.379,52696.424,1024.08,24.057,1.52,1.52,0.41,95.22,7.009,8.16,7.025,7.026
2020/11/26,9:23:14,5.0952,20.362,34.209,47.315,52690.762,1024.085,24.063,1.57,1.57,1.88,94.93,6.995,8.18,7.011,7.011
2020/11/26,9:23:15,5.0522,20.344,34.176,47.255,52648.364,1024.065,24.042,1.54,1.54,1.61,94.31,6.955,8.18,6.97,6.971
2020/11/26,9:23:16,5.0522,20.35,34.201,47.292,52682.405,1024.083,24.06,1.53,1.53,1.68,94.2,6.945,8.17,6.96,6.961
2020/11/26,9:23:17,5.0737,20.347,34.211,47.303,52696.712,1024.091,24.069,1.55,1.55,1.06,93.78,6.912,8.18,6.928,6.928
2020/11/26,9:23:18,5.0307,20.385,34.209,47.337,52686.798,1024.079,24.057,1.51,1.51,0.61,94.36,6.95,8.16,6.965,6.966
2020/11/26,9:23:19,5.0307,20.434,34.221,47.401,52694.074,1024.075,24.053,1.5,1.5,0.4,94.99,6.989,8.17,7.005,7.005
2020/11/26,9:23:20,5.0307,20.471,34.224,47.441,52691.504,1024.067,24.045,1.52,1.52,0.37,95.33,7.011,8.17,7.026,7.027
2020/11/26,9:23:21,4.9447,20.485,34.25,47.489,52725.628,1024.083,24.062,1.52,1.52,0.29,95.45,7.013,8.17,7.028,7.029
2020/11/26,9:23:22,4.7082,20.696,34.301,47.762,52757.942,1024.065,24.044,1.5,1.5,0.2,95.79,7.005,8.18,7.021,7.022
2020/11/26,9:23:23,4.4502,20.815,34.311,47.894,52750.995,1024.039,24.02,1.52,1.52,0.22,96.03,7.011,8.2,7.026,7.027
